time:670890, score:-1099.000000, speed:-1.987874
time:671894, score:-1099.000000, speed:-1.689357
time:672904, score:-1102.000000, speed:-1.789442
time:673904, score:-1104.000000, speed:-1.690701
time:674916, score:-1107.000000, speed:-1.788376
time:675922, score:-1105.000000, speed:-1.491350
time:676926, score:-1106.000000, speed:-1.393173
time:677930, score:-1106.000000, speed:-1.293404
time:678939, score:-1108.000000, speed:-1.193080
time:679947, score:-1105.000000, speed:-0.894188
time:680957, score:-1107.000000, speed:-0.794676
time:681967, score:-1109.000000, speed:-0.992753
time:682969, score:-1111.000000, speed:-0.894099
time:683976, score:-1113.000000, speed:-0.893566
time:684979, score:-1114.000000, speed:-0.695618
time:685988, score:-1117.000000, speed:-1.192132
time:686993, score:-1119.000000, speed:-1.291476
time:687997, score:-1118.000000, speed:-1.192014
time:689009, score:-1120.000000, speed:-1.191658
time:690010, score:-1121.000000, speed:-1.589983
time:691021, score:-1123.000000, speed:-1.589825
time:692027, score:-1126.000000, speed:-1.690029
time:693038, score:-1128.000000, speed:-1.688350
time:694040, score:-1129.000000, speed:-1.589983
time:695043, score:-1131.000000, speed:-1.689357
time:696054, score:-1132.000000, speed:-1.490313
time:697063, score:-1134.000000, speed:-1.489573
time:698076, score:-1134.000000, speed:-1.587617
time:699087, score:-1137.000000, speed:-1.686843
time:700093, score:-1139.000000, speed:-1.785183
time:701104, score:-1142.000000, speed:-1.884360
time:702105, score:-1144.000000, speed:-1.785891
time:703107, score:-1146.000000, speed:-1.787665
time:704111, score:-1147.000000, speed:-1.787133
time:705116, score:-1150.000000, speed:-1.886043
time:706126, score:-1151.000000, speed:-1.886231
time:707131, score:-1153.000000, speed:-1.886980
time:708139, score:-1155.000000, speed:-2.086645
time:709144, score:-1155.000000, speed:-1.789798
time:710146, score:-1157.000000, speed:-1.790510
time:711156, score:-1159.000000, speed:-1.691206
time:712162, score:-1162.000000, speed:-1.789798
time:713171, score:-1164.000000, speed:-1.788553
time:714176, score:-1167.000000, speed:-1.987084
time:715182, score:-1169.000000, speed:-1.887542
time:716194, score:-1170.000000, speed:-1.887167
time:717195, score:-1170.000000, speed:-1.689189
time:718204, score:-1173.000000, speed:-1.788376
time:719211, score:-1175.000000, speed:-1.986887
time:720213, score:-1178.000000, speed:-2.086024
time:721218, score:-1180.000000, speed:-2.087060
time:722231, score:-1183.000000, speed:-2.085609
time:723233, score:-1186.000000, speed:-2.186444
time:724238, score:-1188.000000, speed:-2.087060
time:725241, score:-1191.000000, speed:-2.187096
